Employee_ID,Age,Years_Experience,WFH_Days_Per_Week,Gender,Education_Level,Marital_Status,Has_Children,Location_Type,Department,Job_Level,Company_Size,Industry,Home_Office_Quality,Internet_Speed_Category,Work_Hours_Per_Week,Manager_Support_Level,Team_Collaboration_Frequency,Task_Completion_Rate,Quality_Score,Innovation_Score,Efficiency_Rating,Meetings_Per_Week,Commute_Time_Minutes,Job_Satisfaction,Stress_Level,Work_Life_Balance,Survey_Date,Response_Quality,Productivity_Score
EMP0001,39,10,2,Female,Associate Degree,Married,Yes,Urban,Product,Mid-Level,Large (1001-5000),Finance,Good,Very Fast (100+ Mbps),41,Low,Few times per week,56.6,58.1,52.1,72.1,4,48,55.9,6,8,05-04-24,Medium,52.2
EMP0002,33,4,5,Female,Master Degree,Married,No,Urban,Customer Success,Senior,Startup (1-50),Education,Good,Very Fast (100+ Mbps),52,Moderate,Monthly,70.8,93.3,77.9,89.5,12,0,96.1,3,8,29-01-24,High,81.5
EMP0003,40,3,3,Male,PhD,Single,Yes,Rural,Operations,Mid-Level,Medium (201-1000),Technology,Excellent,Fast (50-100 Mbps),43,Moderate,Few times per week,81.9,84.7,63.2,95,15,24,90.4,5,6,18-01-24,High,82.2
EMP0004,48,14,3,Male,Bachelor Degree,Married,Yes,Urban,Finance,Manager,Medium (201-1000),Technology,Excellent,Very Fast (100+ Mbps),45,High,Daily,70.2,67.8,82.5,95,8,8,100,10,5,18-04-24,High,75.6
EMP0005,32,6,5,Male,High School,Divorced,Yes,Rural,Engineering,Senior,Small (51-200),Technology,Average,Moderate (25-50 Mbps),42,Very Low,Few times per week,98.2,86.4,67.5,95,10,0,100,3,4,19-02-24,High,98
EMP0006,32,7,4,Male,Bachelor Degree,In Relationship,No,Urban,HR,Mid-Level,Medium (201-1000),Technology,Good,Very Fast (100+ Mbps),43,Very High,Few times per week,59.8,60.6,44.2,72.5,7,49,100,7,5,15-02-24,Medium,62
EMP0007,49,1,2,Female,High School,In Relationship,No,Suburban,Marketing,Junior,Enterprise (5000+),Education,Average,Moderate (25-50 Mbps),38,Moderate,Few times per week,75,65.8,79.4,90,10,12,100,8,3,12-02-24,Medium,66.2
EMP0008,41,11,0,Female,Bachelor Degree,Married,No,Suburban,Sales,Manager,Large (1001-5000),Media,Excellent,Very Fast (100+ Mbps),45,Moderate,Weekly,75,86.3,75.2,94.8,7,13,100,4,5,01-02-24,High,77.2
EMP0009,30,4,4,Non-binary,Master Degree,Single,No,Urban,Engineering,Senior,Startup (1-50),Technology,Average,Very Fast (100+ Mbps),47,Moderate,Weekly,69,89.1,76.1,93,3,25,92.4,8,7,18-04-24,Medium,73.8
EMP0010,39,9,4,Female,PhD,Divorced,Yes,Urban,Engineering,Senior,Large (1001-5000),Media,Good,Slow (<25 Mbps),32,High,Daily,77,83.6,80.2,87.4,6,31,100,4,4,28-01-24,High,72.4
